Date,volume
2019-06-30,27256473494
2019-07-01,29378589324
2019-07-02,31015895223
2019-07-03,30796494294
2019-07-04,25920294033
2019-07-05,23838480210
2019-07-06,21092024306
2019-07-07,19369044277
2019-07-08,23482551458
2019-07-09,28167921523
2019-07-10,33627574244
2019-07-11,28595327690
2019-07-12,23534692797
2019-07-13,21042616384
2019-07-14,22486000001
2019-07-15,25384047207
2019-07-16,24151199070
2019-07-17,24569921549
2019-07-18,25187024648
2019-07-19,20727426310
2019-07-20,20206615155
2019-07-21,17130580467
2019-07-22,16334414913
2019-07-23,17851916995
2019-07-24,17398734322
2019-07-25,15821952090
2019-07-26,14495714483
2019-07-27,16817809536
2019-07-28,13738687093
2019-07-29,13791445323
2019-07-30,13829811132
2019-07-31,16631520648
2019-08-01,17165337858
2019-08-02,17489094082
2019-08-03,15352685061
2019-08-04,16530894787
2019-08-05,23875988832
2019-08-06,23635107660
2019-08-07,22194988641
2019-08-08,19481591730
2019-08-09,18339989960
2019-08-10,18125355447
2019-08-11,15774371518
2019-08-12,13647198229
2019-08-13,16681503537
2019-08-14,19990838300
2019-08-15,22899115082
2019-08-16,20228207096
2019-08-17,13778035685
2019-08-18,12999813869
2019-08-19,16038264603
2019-08-20,15053082175
2019-08-21,19473084768
2019-08-22,17097508856
2019-08-23,15627023886
2019-08-24,15451030650
2019-08-25,14153856610
2019-08-26,18438654080
2019-08-27,14762609503
2019-08-28,17603790323
2019-08-29,17045878501
2019-08-30,13595263986
2019-08-31,11454806419
2019-09-01,11445355859
2019-09-02,17248102294
2019-09-03,19384917989
2019-09-04,16742664769
2019-09-05,14551239508
2019-09-06,19536574783
2019-09-07,15307366476
2019-09-08,13670567493
2019-09-09,17595943368
2019-09-10,14906809639
2019-09-11,15428063426
2019-09-12,15323563925
2019-09-13,14109864675
2019-09-14,13468713124
2019-09-15,12043433567
2019-09-16,15160167779
2019-09-17,15304603363
2019-09-18,16169268880
2019-09-19,19937691247
2019-09-20,14734189639
2019-09-21,13425266806
2019-09-22,13199651698
2019-09-23,15144925408
2019-09-24,25002886689
2019-09-25,21744728353
2019-09-26,19258205289
2019-09-27,16408941156
2019-09-28,14141152736
2019-09-29,13034629109
2019-09-30,17115474183
2019-10-01,15305343413
2019-10-02,13125712443
2019-10-03,13668823409
2019-10-04,13139456229
