Date,neg
2019-07-01,58
2019-07-02,56
2019-07-03,52
2019-07-04,27
2019-07-05,42
2019-07-06,30
2019-07-07,43
2019-07-08,70
2019-07-09,83
2019-07-10,71
2019-07-11,68
2019-07-12,73
2019-07-13,38
2019-07-14,71
2019-07-15,46
2019-07-16,61
2019-07-17,97
2019-07-18,94
2019-07-19,73
2019-07-20,42
2019-07-21,33
2019-07-22,60
2019-07-23,47
2019-07-24,58
2019-07-25,80
2019-07-26,58
2019-07-27,64
2019-07-28,38
2019-07-29,61
2019-07-30,62
2019-07-31,62
2019-08-01,78
2019-08-02,112
2019-08-03,72
2019-08-04,67
2019-08-05,56
2019-08-06,70
2019-08-07,55
2019-08-08,64
2019-08-09,89
2019-08-10,52
2019-08-11,52
2019-08-12,48
2019-08-13,51
2019-08-14,66
2019-08-15,84
2019-08-16,77
2019-08-17,38
2019-08-18,54
2019-08-19,80
2019-08-20,71
2019-08-21,75
2019-08-22,65
2019-08-23,65
2019-08-24,54
2019-08-25,38
2019-08-26,26
2019-08-27,55
2019-08-28,58
2019-08-29,52
2019-08-30,43
2019-08-31,55
2019-09-01,38
2019-09-02,62
2019-09-03,74
2019-09-04,72
2019-09-05,52
2019-09-06,43
2019-09-07,54
2019-09-08,40
2019-09-09,49
2019-09-10,64
2019-09-11,52
2019-09-12,57
2019-09-13,42
2019-09-14,27
2019-09-15,42
2019-09-16,42
2019-09-17,47
2019-09-18,63
2019-09-19,48
2019-09-20,51
2019-09-21,29
2019-09-22,31
2019-09-23,35
2019-09-24,58
2019-09-25,73
2019-09-26,44
2019-09-27,42
2019-09-28,27
2019-09-29,41
2019-09-30,45
2019-10-01,45
2019-10-02,51
2019-10-03,51
2019-10-04,71
2019-10-05,53
2019-10-06,40
2019-10-07,40
2019-10-08,72
2019-10-09,85
2019-10-10,71
2019-10-11,60
2019-10-12,57
2019-10-13,32
2019-10-14,49
2019-10-15,43
2019-10-16,58
2019-10-17,75
2019-10-18,46
2019-10-19,42
2019-10-20,59
